hour,intersection_id,approach,vehicle_count
6.333,8,N,0
6.333,8,S,0
6.333,8,E,0
6.333,8,W,2
6.333,9,N,0
6.333,9,S,0
6.333,9,E,0
6.333,9,W,1
6.333,10,N,0
6.333,10,S,0
6.333,10,E,0
6.333,10,W,1
6.333,11,N,0
6.333,11,S,0
6.333,11,E,1
6.333,11,W,0
6.417,0,N,1
6.417,0,S,0
6.417,0,E,0
6.417,0,W,1
6.417,1,N,0
6.417,1,S,0
6.417,1,E,0
6.417,1,W,0
6.417,2,N,0
6.417,2,S,0
6.417,2,E,0
6.417,2,W,1
6.417,3,N,0
6.417,3,S,1
6.417,3,E,0
6.417,3,W,0
6.417,4,N,0
6.417,4,S,0
6.417,4,E,0
6.417,4,W,0
6.417,5,N,0
6.417,5,S,0
6.417,5,E,0
6.417,5,W,0
6.417,6,N,0
6.417,6,S,0
6.417,6,E,0
6.417,6,W,1
6.417,7,N,0
6.417,7,S,1
6.417,7,E,0
6.417,7,W,1
6.417,8,N,0
6.417,8,S,0
6.417,8,E,0
6.417,8,W,0
6.417,9,N,0
6.417,9,S,1
6.417,9,E,0
6.417,9,W,0
6.417,10,N,0
6.417,10,S,0
6.417,10,E,0
6.417,10,W,1
6.417,11,N,0
6.417,11,S,1
6.417,11,E,0
6.417,11,W,0
6.5,0,N,0
6.5,0,S,0
6.5,0,E,0
6.5,0,W,0
6.5,1,N,0
6.5,1,S,0
6.5,1,E,1
6.5,1,W,1
6.5,2,N,0
6.5,2,S,2
6.5,2,E,0
6.5,2,W,1
6.5,3,N,1
6.5,3,S,0
6.5,3,E,0
6.5,3,W,0
6.5,4,N,0
6.5,4,S,0
6.5,4,E,0
6.5,4,W,0
6.5,5,N,0
6.5,5,S,1
6.5,5,E,1
6.5,5,W,0
6.5,6,N,0
6.5,6,S,1
6.5,6,E,0
6.5,6,W,1
6.5,7,N,0
6.5,7,S,0
6.5,7,E,0
6.5,7,W,1
6.5,8,N,0
6.5,8,S,0
6.5,8,E,1
6.5,8,W,0
6.5,9,N,1
6.5,9,S,0
6.5,9,E,0
6.5,9,W,1
6.5,10,N,0
6.5,10,S,1
6.5,10,E,0
6.5,10,W,1
6.5,11,N,0
6.5,11,S,1
6.5,11,E,0
6.5,11,W,0
6.583,0,N,0
6.583,0,S,1
6.583,0,E,0
6.583,0,W,0
6.583,1,N,0
6.583,1,S,0
6.583,1,E,0
6.583,1,W,0
6.583,2,N,0
6.583,2,S,2
6.583,2,E,0
6.583,2,W,0
6.583,3,N,0
6.583,3,S,0
6.583,3,E,0
6.583,3,W,0
6.583,4,N,0
6.583,4,S,1
6.583,4,E,0
6.583,4,W,0
6.583,5,N,0
6.583,5,S,0
6.583,5,E,1
6.583,5,W,1
6.583,6,N,0
6.583,6,S,0
6.583,6,E,0
6.583,6,W,0
6.583,7,N,0
6.583,7,S,0
6.583,7,E,2
6.583,7,W,0
6.583,8,N,1
6.583,8,S,0
6.583,8,E,0
6.583,8,W,0
6.583,9,N,0
6.583,9,S,0
6.583,9,E,1
6.583,9,W,0
6.583,10,N,1
6.583,10,S,0
6.583,10,E,0
6.583,10,W,1
6.583,11,N,1
6.583,11,S,1
6.583,11,E,0
6.583,11,W,0
6.667,0,N,0
6.667,0,S,0
6.667,0,E,0
6.667,0,W,0
6.667,1,N,0
6.667,1,S,1
6.667,1,E,0
6.667,1,W,1
6.667,2,N,0
6.667,2,S,1
6.667,2,E,0
6.667,2,W,0
6.667,3,N,0
6.667,3,S,0
6.667,3,E,0
6.667,3,W,0
6.667,4,N,0
6.667,4,S,1
6.667,4,E,0
6.667,4,W,0
6.667,5,N,0
6.667,5,S,0
6.667,5,E,0
6.667,5,W,1
6.667,6,N,0
6.667,6,S,0
6.667,6,E,0
6.667,6,W,0
6.667,7,N,0
6.667,7,S,0
6.667,7,E,0
6.667,7,W,0
6.667,8,N,0
6.667,8,S,0
6.667,8,E,0
6.667,8,W,0
6.667,9,N,1
6.667,9,S,0
6.667,9,E,0
6.667,9,W,1
6.667,10,N,1
6.667,10,S,2
6.667,10,E,0
6.667,10,W,0
6.667,11,N,0
6.667,11,S,0
6.667,11,E,0
6.667,11,W,0
6.75,0,N,0
6.75,0,S,0
6.75,0,E,0
6.75,0,W,0
6.75,1,N,0
6.75,1,S,0
6.75,1,E,0
6.75,1,W,0
6.75,2,N,0
6.75,2,S,0
6.75,2,E,0
6.75,2,W,1
6.75,3,N,0
6.75,3,S,1
6.75,3,E,0
6.75,3,W,0
6.75,4,N,0
6.75,4,S,1
6.75,4,E,0
6.75,4,W,0
6.75,5,N,0
6.75,5,S,0
6.75,5,E,0
6.75,5,W,0
6.75,6,N,0
6.75,6,S,0
6.75,6,E,0
6.75,6,W,1
6.75,7,N,0
6.75,7,S,0
6.75,7,E,0
6.75,7,W,1
6.75,8,N,2
6.75,8,S,0
6.75,8,E,2
6.75,8,W,0
6.75,9,N,0
6.75,9,S,1
6.75,9,E,0
6.75,9,W,0
6.75,10,N,0
6.75,10,S,0
6.75,10,E,0
6.75,10,W,0
6.75,11,N,0
6.75,11,S,0
6.75,11,E,0
6.75,11,W,0
6.833,0,N,0
6.833,0,S,1
6.833,0,E,0
6.833,0,W,0
6.833,1,N,0
6.833,1,S,1
6.833,1,E,0
6.833,1,W,0
6.833,2,N,0
6.833,2,S,0
6.833,2,E,1
6.833,2,W,0
6.833,3,N,1
6.833,3,S,2
6.833,3,E,0
6.833,3,W,2
6.833,4,N,1
6.833,4,S,1
6.833,4,E,0
6.833,4,W,0
6.833,5,N,0
6.833,5,S,0
6.833,5,E,0
6.833,5,W,0
6.833,6,N,0
6.833,6,S,0
6.833,6,E,1
6.833,6,W,1
6.833,7,N,0
6.833,7,S,3
6.833,7,E,0
6.833,7,W,0
6.833,8,N,0
6.833,8,S,0
6.833,8,E,0
6.833,8,W,0
6.833,9,N,1
6.833,9,S,0
6.833,9,E,1
6.833,9,W,0
6.833,10,N,0
6.833,10,S,0
6.833,10,E,0
6.833,10,W,1
6.833,11,N,0
6.833,11,S,0
6.833,11,E,1
6.833,11,W,0
6.917,0,N,0
6.917,0,S,0
6.917,0,E,0
6.917,0,W,0
6.917,1,N,1
6.917,1,S,0
6.917,1,E,0
6.917,1,W,0
6.917,2,N,2
6.917,2,S,0
6.917,2,E,0
6.917,2,W,1
6.917,3,N,0
6.917,3,S,1
6.917,3,E,0
6.917,3,W,1
6.917,4,N,0
6.917,4,S,0
6.917,4,E,2
6.917,4,W,1
6.917,5,N,0
6.917,5,S,0
6.917,5,E,1
6.917,5,W,0
6.917,6,N,0
6.917,6,S,0
6.917,6,E,0
6.917,6,W,1
6.917,7,N,0
6.917,7,S,0
6.917,7,E,1
6.917,7,W,0
6.917,8,N,1
6.917,8,S,0
6.917,8,E,2
6.917,8,W,0
6.917,9,N,0
6.917,9,S,0
6.917,9,E,0
6.917,9,W,0
6.917,10,N,0
6.917,10,S,0
6.917,10,E,0
6.917,10,W,0
6.917,11,N,0
6.917,11,S,0
6.917,11,E,0
6.917,11,W,0
7.0,0,N,0
7.0,0,S,0
7.0,0,E,0
7.0,0,W,0
7.0,1,N,1
7.0,1,S,0
7.0,1,E,0
7.0,1,W,1
7.0,2,N,1
7.0,2,S,0
7.0,2,E,0
7.0,2,W,0
7.0,3,N,0
7.0,3,S,1
7.0,3,E,0
7.0,3,W,0
7.0,4,N,3
7.0,4,S,1
7.0,4,E,0
7.0,4,W,0
7.0,5,N,1
7.0,5,S,0
7.0,5,E,0
7.0,5,W,3
7.0,6,N,0
7.0,6,S,1
7.0,6,E,0
7.0,6,W,1
7.0,7,N,3
7.0,7,S,0
7.0,7,E,0
7.0,7,W,1
7.0,8,N,0
7.0,8,S,2
7.0,8,E,2
7.0,8,W,0
7.0,9,N,2
7.0,9,S,1
7.0,9,E,0
7.0,9,W,0
7.0,10,N,0
7.0,10,S,0
7.0,10,E,0
7.0,10,W,0
7.0,11,N,0
7.0,11,S,1
7.0,11,E,0
7.0,11,W,0
7.083,0,N,1
7.083,0,S,0
7.083,0,E,0
7.083,0,W,0
7.083,1,N,0
7.083,1,S,2
7.083,1,E,1
7.083,1,W,0
7.083,2,N,0
7.083,2,S,0
7.083,2,E,1
7.083,2,W,0
7.083,3,N,1
7.083,3,S,0
7.083,3,E,0
7.083,3,W,1
7.083,4,N,1
7.083,4,S,0
7.083,4,E,0
7.083,4,W,2
7.083,5,N,0
7.083,5,S,0
7.083,5,E,0
7.083,5,W,1
7.083,6,N,0
7.083,6,S,1
7.083,6,E,1
7.083,6,W,0
7.083,7,N,1
7.083,7,S,0
7.083,7,E,2
7.083,7,W,1
7.083,8,N,0
7.083,8,S,0
7.083,8,E,1
7.083,8,W,0
7.083,9,N,0
7.083,9,S,1
7.083,9,E,0
7.083,9,W,1
7.083,10,N,0
7.083,10,S,0
7.083,10,E,1
7.083,10,W,0
7.083,11,N,1
7.083,11,S,0
7.083,11,E,0
7.083,11,W,0
7.167,0,N,1
7.167,0,S,1
7.167,0,E,0
7.167,0,W,0
7.167,1,N,0
7.167,1,S,0
7.167,1,E,1
7.167,1,W,0
7.167,2,N,0
7.167,2,S,0
7.167,2,E,1
7.167,2,W,1
7.167,3,N,2
7.167,3,S,1
7.167,3,E,1
7.167,3,W,0
7.167,4,N,3
7.167,4,S,0
7.167,4,E,0
7.167,4,W,1
7.167,5,N,0
7.167,5,S,0
7.167,5,E,0
7.167,5,W,0
7.167,6,N,0
7.167,6,S,0
7.167,6,E,1
7.167,6,W,0
7.167,7,N,0
7.167,7,S,1
7.167,7,E,1
7.167,7,W,2
7.167,8,N,0
7.167,8,S,0
7.167,8,E,0
7.167,8,W,0
7.167,9,N,3
7.167,9,S,1
7.167,9,E,1
7.167,9,W,2
7.167,10,N,0
7.167,10,S,0
7.167,10,E,0
7.167,10,W,0
7.167,11,N,0
7.167,11,S,0
7.167,11,E,0
7.167,11,W,0
7.25,0,N,0
7.25,0,S,0
7.25,0,E,1
7.25,0,W,1
7.25,1,N,0
7.25,1,S,0
7.25,1,E,0
7.25,1,W,0
7.25,2,N,0
7.25,2,S,1
7.25,2,E,1
7.25,2,W,1
7.25,3,N,1
7.25,3,S,1
7.25,3,E,0
7.25,3,W,0
7.25,4,N,0
7.25,4,S,1
7.25,4,E,1
7.25,4,W,0
7.25,5,N,0
7.25,5,S,0
7.25,5,E,0
7.25,5,W,2
7.25,6,N,0
7.25,6,S,0
7.25,6,E,0
7.25,6,W,1
7.25,7,N,1
7.25,7,S,0
7.25,7,E,2
7.25,7,W,0
7.25,8,N,0
7.25,8,S,0
7.25,8,E,0
7.25,8,W,1
7.25,9,N,1
7.25,9,S,1
7.25,9,E,0
7.25,9,W,0
7.25,10,N,0
7.25,10,S,1
7.25,10,E,0
7.25,10,W,0
7.25,11,N,1
7.25,11,S,0
7.25,11,E,0
7.25,11,W,0
7.333,0,N,0
7.333,0,S,0
7.333,0,E,1
7.333,0,W,1
7.333,1,N,0
7.333,1,S,0
7.333,1,E,1
7.333,1,W,1
7.333,2,N,0
7.333,2,S,0
7.333,2,E,1
7.333,2,W,0
7.333,3,N,0
7.333,3,S,1
7.333,3,E,0
7.333,3,W,1
7.333,4,N,0
7.333,4,S,0
7.333,4,E,1
7.333,4,W,0
7.333,5,N,0
7.333,5,S,0
7.333,5,E,2
7.333,5,W,0
7.333,6,N,0
7.333,6,S,0
7.333,6,E,1
7.333,6,W,0
7.333,7,N,1
7.333,7,S,0
7.333,7,E,0
7.333,7,W,1
7.333,8,N,0
7.333,8,S,0
7.333,8,E,0
7.333,8,W,1
7.333,9,N,0
7.333,9,S,0
7.333,9,E,0
7.333,9,W,0
7.333,10,N,0
7.333,10,S,0
7.333,10,E,0
7.333,10,W,0
7.333,11,N,2
7.333,11,S,2
7.333,11,E,0
7.333,11,W,1
7.417,0,N,0
7.417,0,S,0
7.417,0,E,0
7.417,0,W,0
7.417,1,N,2
7.417,1,S,1
7.417,1,E,0
7.417,1,W,2
7.417,2,N,0
7.417,2,S,1
7.417,2,E,0
7.417,2,W,1
7.417,3,N,1
7.417,3,S,1
7.417,3,E,1
7.417,3,W,1
7.417,4,N,0
7.417,4,S,1
7.417,4,E,0
7.417,4,W,2
7.417,5,N,1
7.417,5,S,0
7.417,5,E,0
7.417,5,W,0
7.417,6,N,0
7.417,6,S,0
7.417,6,E,0
7.417,6,W,2
7.417,7,N,0
7.417,7,S,0
7.417,7,E,1
7.417,7,W,1
7.417,8,N,0
7.417,8,S,1
7.417,8,E,0
7.417,8,W,0
7.417,9,N,0
7.417,9,S,0
7.417,9,E,2
7.417,9,W,0
7.417,10,N,0
7.417,10,S,0
7.417,10,E,1
7.417,10,W,1
7.417,11,N,0
7.417,11,S,1
7.417,11,E,0
7.417,11,W,0
7.5,0,N,0
7.5,0,S,0
7.5,0,E,0
7.5,0,W,0
7.5,1,N,1
7.5,1,S,2
7.5,1,E,0
7.5,1,W,1
7.5,2,N,0
7.5,2,S,0
7.5,2,E,1
7.5,2,W,0
7.5,3,N,1
7.5,3,S,2
7.5,3,E,0
7.5,3,W,1
7.5,4,N,0
7.5,4,S,0
7.5,4,E,0
7.5,4,W,1
7.5,5,N,0
7.5,5,S,1
7.5,5,E,1
7.5,5,W,0
7.5,6,N,0
7.5,6,S,0
7.5,6,E,0
7.5,6,W,0
7.5,7,N,2
7.5,7,S,1
7.5,7,E,0
7.5,7,W,0
7.5,8,N,0
7.5,8,S,0
7.5,8,E,0
7.5,8,W,0
7.5,9,N,1
7.5,9,S,1
7.5,9,E,0
7.5,9,W,1
7.5,10,N,2
7.5,10,S,2
7.5,10,E,1
7.5,10,W,1
7.5,11,N,0
7.5,11,S,2
7.5,11,E,0
7.5,11,W,0
7.583,0,N,0
7.583,0,S,0
7.583,0,E,0
7.583,0,W,0
7.583,1,N,1
7.583,1,S,3
7.583,1,E,1
7.583,1,W,0
7.583,2,N,0
7.583,2,S,1
7.583,2,E,0
7.583,2,W,0
7.583,3,N,1
7.583,3,S,0
7.583,3,E,1
7.583,3,W,0
7.583,4,N,0
7.583,4,S,0
7.583,4,E,1
7.583,4,W,0
7.583,5,N,1
7.583,5,S,2
7.583,5,E,0
7.583,5,W,0
7.583,6,N,1
7.583,6,S,0
7.583,6,E,0
7.583,6,W,0
7.583,7,N,0
7.583,7,S,0
7.583,7,E,1
7.583,7,W,0
7.583,8,N,1
7.583,8,S,0
7.583,8,E,0
7.583,8,W,0
7.583,9,N,0
7.583,9,S,1
7.583,9,E,1
7.583,9,W,0
7.583,10,N,2
7.583,10,S,0
7.583,10,E,0
7.583,10,W,1
7.583,11,N,0
7.583,11,S,1
7.583,11,E,1
7.583,11,W,0
7.667,0,N,1
7.667,0,S,1
7.667,0,E,1
7.667,0,W,2
7.667,1,N,1
7.667,1,S,0
7.667,1,E,0
7.667,1,W,1
7.667,2,N,0
7.667,2,S,1
7.667,2,E,1
7.667,2,W,1
7.667,3,N,0
7.667,3,S,1
7.667,3,E,0
7.667,3,W,0
7.667,4,N,0
7.667,4,S,0
7.667,4,E,1
7.667,4,W,0
7.667,5,N,1
7.667,5,S,1
7.667,5,E,0
7.667,5,W,0
7.667,6,N,0
7.667,6,S,0
7.667,6,E,1
7.667,6,W,0
7.667,7,N,0
7.667,7,S,0
7.667,7,E,1
7.667,7,W,0
7.667,8,N,2
7.667,8,S,0
7.667,8,E,0
7.667,8,W,1
7.667,9,N,0
7.667,9,S,0
7.667,9,E,3
7.667,9,W,2
7.667,10,N,1
7.667,10,S,0
7.667,10,E,0
7.667,10,W,2
7.667,11,N,1
7.667,11,S,0
7.667,11,E,0
7.667,11,W,1
7.75,0,N,1
7.75,0,S,0
7.75,0,E,0
7.75,0,W,0
7.75,1,N,1
7.75,1,S,0
7.75,1,E,0
7.75,1,W,1
7.75,2,N,1
7.75,2,S,1
7.75,2,E,3
7.75,2,W,1
7.75,3,N,0
7.75,3,S,0
7.75,3,E,1
7.75,3,W,0
7.75,4,N,3
7.75,4,S,0
7.75,4,E,1
7.75,4,W,2
7.75,5,N,1
7.75,5,S,0
7.75,5,E,0
7.75,5,W,0
7.75,6,N,0
7.75,6,S,0
7.75,6,E,0
7.75,6,W,0
7.75,7,N,1
7.75,7,S,0
7.75,7,E,0
7.75,7,W,2
7.75,8,N,0
7.75,8,S,0
7.75,8,E,0
7.75,8,W,0
7.75,9,N,0
7.75,9,S,1
7.75,9,E,0
7.75,9,W,0
7.75,10,N,1
7.75,10,S,0
7.75,10,E,1
7.75,10,W,1
7.75,11,N,1
7.75,11,S,3
7.75,11,E,0
7.75,11,W,0
7.833,0,N,0
7.833,0,S,0
7.833,0,E,0
7.833,0,W,2
7.833,1,N,0
7.833,1,S,0
7.833,1,E,0
7.833,1,W,0
7.833,2,N,1
7.833,2,S,0
7.833,2,E,1
7.833,2,W,0
7.833,3,N,0
7.833,3,S,1
7.833,3,E,1
7.833,3,W,0
7.833,4,N,1
7.833,4,S,0
7.833,4,E,0
7.833,4,W,0
7.833,5,N,0
7.833,5,S,0
7.833,5,E,0
7.833,5,W,1
7.833,6,N,0
7.833,6,S,0
7.833,6,E,0
7.833,6,W,0
7.833,7,N,0
7.833,7,S,0
7.833,7,E,2
7.833,7,W,0
7.833,8,N,2
7.833,8,S,1
7.833,8,E,3
7.833,8,W,1
7.833,9,N,0
7.833,9,S,1
7.833,9,E,1
7.833,9,W,0
7.833,10,N,0
7.833,10,S,1
7.833,10,E,0
7.833,10,W,1
7.833,11,N,2
7.833,11,S,0
7.833,11,E,0
7.833,11,W,1
7.917,0,N,1
7.917,0,S,0
7.917,0,E,0
7.917,0,W,0
7.917,1,N,0
7.917,1,S,1
7.917,1,E,0
7.917,1,W,0
7.917,2,N,0
7.917,2,S,1
7.917,2,E,0
7.917,2,W,0
7.917,3,N,0
7.917,3,S,0
7.917,3,E,0
7.917,3,W,1
7.917,4,N,0
7.917,4,S,0
7.917,4,E,0
7.917,4,W,0
7.917,5,N,0
7.917,5,S,0
7.917,5,E,0
7.917,5,W,0
7.917,6,N,0
7.917,6,S,0
7.917,6,E,0
7.917,6,W,0
7.917,7,N,0
7.917,7,S,1
7.917,7,E,0
7.917,7,W,1
7.917,8,N,1
7.917,8,S,2
7.917,8,E,0
7.917,8,W,1
7.917,9,N,0
7.917,9,S,0
7.917,9,E,0
7.917,9,W,0
7.917,10,N,1
7.917,10,S,0
7.917,10,E,0
7.917,10,W,1
7.917,11,N,1
7.917,11,S,1
7.917,11,E,1
7.917,11,W,0
8.0,0,N,0
8.0,0,S,1
8.0,0,E,0
8.0,0,W,0
8.0,1,N,0
8.0,1,S,1
8.0,1,E,2
8.0,1,W,0
8.0,2,N,0
8.0,2,S,0
8.0,2,E,0
8.0,2,W,1
8.0,3,N,1
8.0,3,S,0
8.0,3,E,0
8.0,3,W,2
8.0,4,N,0
8.0,4,S,0
8.0,4,E,0
8.0,4,W,1
8.0,5,N,2
8.0,5,S,1
8.0,5,E,1
8.0,5,W,1
8.0,6,N,0
8.0,6,S,1
8.0,6,E,1
8.0,6,W,1
8.0,7,N,0
8.0,7,S,3
8.0,7,E,0
8.0,7,W,0
8.0,8,N,0
8.0,8,S,2
8.0,8,E,1
8.0,8,W,1
8.0,9,N,2
8.0,9,S,1
8.0,9,E,2
8.0,9,W,0
8.0,10,N,0
8.0,10,S,1
8.0,10,E,0
8.0,10,W,0
8.0,11,N,1
8.0,11,S,1
8.0,11,E,2
8.0,11,W,0
8.083,0,N,1
8.083,0,S,1
8.083,0,E,0
8.083,0,W,1
8.083,1,N,1
8.083,1,S,2
8.083,1,E,1
8.083,1,W,2
8.083,2,N,0
8.083,2,S,0
8.083,2,E,1
8.083,2,W,2
8.083,3,N,0
8.083,3,S,0
8.083,3,E,1
8.083,3,W,0
8.083,4,N,0
8.083,4,S,0
8.083,4,E,0
8.083,4,W,0
8.083,5,N,2
8.083,5,S,0
8.083,5,E,0
8.083,5,W,0
8.083,6,N,0
8.083,6,S,0
8.083,6,E,0
8.083,6,W,1
8.083,7,N,0
8.083,7,S,1
8.083,7,E,0
8.083,7,W,0
8.083,8,N,2
8.083,8,S,1
8.083,8,E,0
8.083,8,W,0
8.083,9,N,0
8.083,9,S,1
8.083,9,E,2
8.083,9,W,1
8.083,10,N,0
8.083,10,S,0
8.083,10,E,0
8.083,10,W,1
8.083,11,N,0
8.083,11,S,1
8.083,11,E,1
8.083,11,W,1
8.167,0,N,0
8.167,0,S,1
8.167,0,E,1
8.167,0,W,0
8.167,1,N,1
8.167,1,S,0
8.167,1,E,1
8.167,1,W,0
8.167,2,N,3
8.167,2,S,0
8.167,2,E,0
8.167,2,W,0
8.167,3,N,1
8.167,3,S,2
8.167,3,E,0
8.167,3,W,1
8.167,4,N,2
8.167,4,S,0
8.167,4,E,0
8.167,4,W,0
8.167,5,N,0
8.167,5,S,1
8.167,5,E,0
8.167,5,W,2
8.167,6,N,0
8.167,6,S,0
8.167,6,E,0
8.167,6,W,0
8.167,7,N,0
8.167,7,S,0
8.167,7,E,0
8.167,7,W,1
8.167,8,N,0
8.167,8,S,0
8.167,8,E,0
8.167,8,W,0
8.167,9,N,0
8.167,9,S,2
8.167,9,E,1
8.167,9,W,0
8.167,10,N,2
8.167,10,S,1
8.167,10,E,0
8.167,10,W,1
8.167,11,N,0
8.167,11,S,0
8.167,11,E,0
8.167,11,W,2
8.25,0,N,0
8.25,0,S,0
8.25,0,E,1
8.25,0,W,0
8.25,1,N,1
8.25,1,S,0
8.25,1,E,2
8.25,1,W,0
8.25,2,N,1
8.25,2,S,1
8.25,2,E,0
8.25,2,W,2
8.25,3,N,1
8.25,3,S,0
8.25,3,E,0
8.25,3,W,0
8.25,4,N,0
8.25,4,S,1
8.25,4,E,1
8.25,4,W,0
8.25,5,N,0
8.25,5,S,0
8.25,5,E,0
8.25,5,W,0
8.25,6,N,0
8.25,6,S,1
8.25,6,E,1
8.25,6,W,0
8.25,7,N,0
8.25,7,S,1
8.25,7,E,0
8.25,7,W,0
8.25,8,N,0
8.25,8,S,1
8.25,8,E,0
8.25,8,W,2
8.25,9,N,0
8.25,9,S,0
8.25,9,E,0
8.25,9,W,1
8.25,10,N,0
8.25,10,S,1
8.25,10,E,1
8.25,10,W,0
8.25,11,N,0
8.25,11,S,0
8.25,11,E,0
8.25,11,W,0
8.333,0,N,0
8.333,0,S,0
8.333,0,E,1
8.333,0,W,0
8.333,1,N,0
8.333,1,S,1
8.333,1,E,0
8.333,1,W,0
8.333,2,N,1
8.333,2,S,0
8.333,2,E,0
8.333,2,W,1
8.333,3,N,0
8.333,3,S,0
8.333,3,E,3
8.333,3,W,0
8.333,4,N,0
8.333,4,S,0
8.333,4,E,0
8.333,4,W,0
8.333,5,N,1
8.333,5,S,0
8.333,5,E,2
8.333,5,W,0
8.333,6,N,1
8.333,6,S,0
8.333,6,E,1
8.333,6,W,0
8.333,7,N,0
8.333,7,S,0
8.333,7,E,0
8.333,7,W,0
8.333,8,N,0
8.333,8,S,1
8.333,8,E,0
8.333,8,W,0
8.333,9,N,1
8.333,9,S,5
8.333,9,E,0
8.333,9,W,0
8.333,10,N,1
8.333,10,S,0
8.333,10,E,0
8.333,10,W,0
8.333,11,N,0
8.333,11,S,1
8.333,11,E,0
8.333,11,W,0
8.417,0,N,2
8.417,0,S,3
8.417,0,E,0
8.417,0,W,0
